6.65,27.7
7.83,26.15
9.07,27.08
12.92,22.86
12.05,21.18
19.57,17.08
20.37,14.35
21.74,13.23
23.17,10.19
29.13,5.41
33.23,5.97
33.98,4.16
34.6,3.17
33.79,3.11
33.04,4.35
31.8,3.85
32.24,2.74
31.06,2.49
31.37,1.18
38.26,-0.87
37.52,1.12
39.32,2.24
39.44,3.23
37.14,4.04
36.34,5.53
40.13,7.7
42.11,7.58
43.6,5.9
46.21,9.82
45.22,10.25
41.62,9.51
38.88,9.38
34.72,6.9
34.29,7.83
31.74,7.58
31.93,9.82
29.81,9.19
26.03,14.04
27.08,14.35
27.21,16.28
25.65,15.84
24.35,17.52
25.96,19.75
25.16,21.24
33.6,18.32
35.96,21.93
37.76,20.62
39.75,23.91
38.32,24.97
37.27,22.86
31.74,26.34
39.19,29.32
38.32,31.06
30.44,27.21
30.44,28.14
28.39,28.14
28.39,26.77
24.16,26.4
25.22,31.8
22.98,32.11
22.24,28.2
22.8,25.41
21.8,23.91
20.19,24.23
19.82,22.36
16.59,22.05
13.98,23.6
9.38,29.19
