0.6771,0.7537,0.5399,0.6425
0.6024,0.6668,0.5646,0.5881
0.6184,0.6851,0.6619,0.6308
0.7096,0.7974,0.8157,0.7220
0.8436,0.9429,0.9670,0.8517
1.1367,1.1995,1.0907,1.1297
1.4017,1.4914,1.0805,1.4098
1.2913,1.3877,1.0976,1.2864
1.0955,1.2144,1.1212,1.0860
1.0071,1.1555,1.1373,0.9723
0.9372,1.0573,1.1074,0.8823
0.8708,0.9555,1.0498,0.8778
0.8417,0.9019,0.9920,0.8640
0.8520,0.8594,0.9676,0.8584
0.8301,0.8429,0.9341,0.7908
0.8623,0.8754,0.9332,0.8140
0.9461,0.9541,0.9516,0.8686
1.1143,1.1014,0.9805,0.9679
1.3467,1.2743,1.0976,1.0847
1.5477,1.4078,1.2592,1.1446
1.5307,1.4093,1.2944,1.1362
1.3276,1.2595,1.1384,1.0305
1.0199,1.0221,1.0053,0.8360
0.7351,0.7336,0.8157,0.6360
0.5625,0.5738,0.6801,0.5440
0.5371,0.5661,0.6686,0.6031
0.5886,0.6138,0.7151,0.7055
0.7011,0.7149,0.8463,0.8702
0.8828,0.9123,1.0216,1.1582
1.1391,1.1556,1.0738,1.4077
1.4171,1.4645,1.0432,1.6697
1.3449,1.3679,1.0183,1.3816
1.1524,1.1859,1.0413,1.0853
1.0605,1.0729,1.0903,0.9912
0.9974,1.0168,1.0989,0.9322
0.9690,0.9584,1.0614,0.8666
0.9139,0.9206,1.0183,0.8361
0.8736,0.9343,0.9845,0.8674
0.8481,0.9388,0.9472,0.8289
0.8995,0.9773,0.9479,1.0197
0.9977,1.0343,0.9676,0.9904
1.1211,1.1041,1.0314,1.0819
1.2476,1.1235,1.2357,1.3254
1.3310,1.0847,1.4256,1.5750
1.3147,0.9559,1.4878,1.5978
1.1519,0.8992,1.2830,1.5123
0.9940,0.7974,1.0008,1.1751
0.8088,0.6780,0.7080,0.8639
