Hour,pattern
0,1.22031913889278
1,1.19766816871354
2,1.05600543736469
3,0.805040164931353
4,0.851510065716283
5,0.960611468821413
6,1.2119407016548
7,0.991432760079791
8,0.920459656525612
9,0.836722498321172
10,0.879667272487454
11,0.766352581120578
12,0.644461268067352
13,0.637831565648091
14,0.735292507813104
15,0.842579075418689
16,1.06884657875929
17,1.3195248874481
18,1.66562664510622
19,1.77937297817607
20,1.57016922843045
21,1.31653230238411
22,1.05421701498572
23,0.905414584237871
24,0.709316172243633
25,0.758751873050102
26,0.914746710269377
27,0.966758957163671
28,0.978682743148329
29,1.25469745925608
30,1.32860254704305
31,1.34525218014378
32,1.37394951883441
33,1.25409773141381
34,1.12911913204129
35,0.983894891207785
36,0.877023527607399
37,0.796414711082401
38,0.7432140102537
39,0.903294238547981
40,0.925804723805417
41,1.27164941921355
42,1.40936360764433
43,1.39820832865178
44,1.10101971326794
45,0.938337753137292
46,0.753137034516265
47,0.601135595431822
48,0.492176256958068
49,0.518281993350289
50,0.701336421664417
51,0.834759557144424
52,0.953091883940518
53,1.12801927015979
54,1.32667613861573
55,1.12784662276848
56,0.884634296451973
57,0.843255375055398
58,0.72083541432211
59,0.575444094263287
60,0.508364482967957
61,0.54206904552514
62,0.446927922530931
63,0.616230998314177
64,0.654634638682031
65,0.930996593752185
66,1.17062583237298
67,1.25368502846974
68,1.3334218748227
69,1.2096426639576
70,1.19166047704334
71,1.02030494500324
72,0.800470565338649
73,0.833986275295666
74,0.666551658862579
75,0.764940720521977
76,0.864998198054256
77,1.0109402755635
78,1.22665999395009
79,1.16180083652904
80,0.968842303343049
81,0.820128427620952
82,0.744010671410068
83,0.700555060083696
84,0.537668331471609
85,0.592728885259287
86,0.712533492895761
87,0.970047043950761
88,1.10409188288294
89,1.42634226625091
90,1.50713673847588
91,1.60790759845638
92,1.47667503357402
93,1.29354612133614
94,1.04839607932609
95,0.850837955186354
96,0.69849849954574
97,0.662863660209038
98,0.671674681138684
99,0.762061014724984
100,0.970860496644145
101,1.05464557973313
102,1.30196314508687
103,1.04571345000707
104,0.814533816917548
105,0.72400394253053
106,0.668956353133019
107,0.69209070541604
108,0.566428525886348
109,0.450360951854541
110,0.563039893111315
111,0.77487115175338
112,0.997798963081342
113,1.33101192034765
114,1.28484691754001
115,1.28670213129708
116,1.20436294138466
117,1.07002646379685
118,0.892401510131711
119,0.852567733613868
120,0.744452428010495
121,0.713676099224977
122,0.993278765425281
123,1.05963537947995
124,1.10173164358673
125,1.19472671922874
126,1.29358918847548
127,1.04682151533894
128,0.874970175310941
129,0.77225692055525
130,0.636297868892333
131,0.497332731274144
132,0.506779381214463
133,0.456387210516058
134,0.555232716386571
135,0.619042419439663
136,0.767490816871416
137,0.81544083834949
138,0.990902365744378
139,0.944277643509956
140,0.910628276568286
141,0.777817915360104
142,0.760127401950839
143,0.666938439503876
144,0.536373911220559
145,0.50620996805298
146,0.63928953608642
147,0.626396728430902
148,0.781106836902459
149,1.04194122557226
150,1.39245309011686
151,1.33105782884514
152,1.16496503191126
153,1.12111974304835
154,1.21491272940752
155,0.979538444676982
156,0.768463461589383
157,0.691145706404765
158,0.885864683036029
159,0.940423131547012
160,0.984611059086541
161,1.21261163443731
162,1.31296922566566
163,1.40644078432168
164,1.23754295961226
165,1.06833311535279
166,0.976590709101136
167,0.703996425184687
168,0.456646253140257
169,0.55457625531587
170,0.559587063982614
171,0.536918780413255
172,0.651625391027532
173,0.735389876506159
174,0.850600958581026
175,0.897921860909685
176,0.764310788462734
177,0.721372613732001
178,0.604682444085648
179,0.734559186470705
180,0.556425131650592
181,0.599253308809301
